,start_station_name,start_count,end_count,deficit,popularity
152,Avenue D & E 12 St,927.0,871,56.0,1798.0
153,Avenue D & E 3 St,1494.0,1473,21.0,2967.0
154,Avenue D & E 8 St,1407.0,1387,20.0,2794.0
155,Baltic St & 5 Ave,784.0,806,-22.0,1590.0
156,Bank St & Hudson St,2107.0,2114,-7.0,4221.0
157,Bank St & Washington St,1949.0,1891,58.0,3840.0
158,Banker St & Meserole Ave,814.0,808,6.0,1622.0
159,Barclay St & Church St,1553.0,1560,-7.0,3113.0
160,Barrow St & Hudson St,3200.0,3185,15.0,6385.0
161,Bayard St & Baxter St,1621.0,1649,-28.0,3270.0
162,Bayard St & Leonard St,623.0,618,5.0,1241.0
163,Beaver St & Fayette St,246.0,250,-4.0,496.0
164,Bedford Ave & Bergen St,849.0,836,13.0,1685.0
165,Bedford Ave & Montgomery St,174.0,191,-17.0,365.0
166,Bedford Ave & Nassau Ave,1273.0,1290,-17.0,2563.0
167,Bedford Ave & S 9 St,409.0,420,-11.0,829.0
168,Bergen St & Flatbush Ave,831.0,854,-23.0,1685.0
169,Bergen St & Smith St,1793.0,1877,-84.0,3670.0
170,Bergen St & Vanderbilt Ave,814.0,814,0.0,1628.0
171,Berkeley Pl & 6 Ave,395.0,408,-13.0,803.0
172,Berkeley Pl & 7 Ave,1004.0,1011,-7.0,2015.0
173,Berry St & N 8 St,1201.0,1225,-24.0,2426.0
174,Bialystoker Pl & Delancey St,983.0,981,2.0,1964.0
175,Boerum St & Broadway,441.0,448,-7.0,889.0
176,Bond St & Bergen St,589.0,610,-21.0,1199.0
177,Bond St & Fulton St,1415.0,1446,-31.0,2861.0
178,Broad St & Bridge St,763.0,763,0.0,1526.0
179,Broadway & 12 St,357.0,362,-5.0,719.0
180,Broadway & Battery Pl,2345.0,3171,-826.0,5516.0
181,Broadway & Berry St,1250.0,1277,-27.0,2527.0
182,Broadway & E 14 St,4608.0,4615,-7.0,9223.0
183,Broadway & E 22 St,5201.0,5751,-550.0,10952.0
184,Broadway & Furman Ave,64.0,45,19.0,109.0
185,Broadway & Hancock St,166.0,163,3.0,329.0
186,Broadway & Kosciuszko St,213.0,210,3.0,423.0
187,Broadway & Madison St,203.0,184,19.0,387.0
188,Broadway & Moylan Pl,601.0,606,-5.0,1207.0
189,Broadway & Roebling St,940.0,923,17.0,1863.0
190,Broadway & W 122 St,303.0,295,8.0,598.0
191,Broadway & W 25 St,4429.0,4528,-99.0,8957.0
192,Broadway & W 29 St,2876.0,2849,27.0,5725.0
193,Broadway & W 36 St,1714.0,1786,-72.0,3500.0
194,Broadway & W 37 St,1198.0,1185,13.0,2383.0
195,Broadway & W 38 St,1931.0,1943,-12.0,3874.0
196,Broadway & W 41 St,3263.0,3168,95.0,6431.0
197,Broadway & W 49 St,3255.0,3031,224.0,6286.0
198,Broadway & W 51 St,1916.0,1890,26.0,3806.0
199,Broadway & W 53 St,2140.0,2081,59.0,4221.0
200,Broadway & W 56 St,4217.0,3858,359.0,8075.0
201,Broadway & W 60 St,5361.0,5231,130.0,10592.0
202,Broadway & Whipple St,435.0,431,4.0,866.0
203,Brooklyn Bridge Park - Pier 2,549.0,539,10.0,1088.0
204,Bus Slip & State St,988.0,968,20.0,1956.0
205,Bushwick Ave & Dekalb Ave,152.0,129,23.0,281.0
206,Bushwick Ave & Forrest St,119.0,116,3.0,235.0
207,Bushwick Ave & Furman Ave,42.0,44,-2.0,86.0
208,Bushwick Ave & Harman St,153.0,151,2.0,304.0
209,Bushwick Ave & Linden St,132.0,135,-3.0,267.0
210,Bushwick Ave & McKibbin St,172.0,157,15.0,329.0
211,Bushwick Ave & Powers St,496.0,457,39.0,953.0
212,Bushwick Ave & Stagg St,119.0,111,8.0,230.0
213,Butler St & Court St,541.0,556,-15.0,1097.0
214,Cadman Plaza E & Johnson St,695.0,688,7.0,1383.0
215,Cadman Plaza E & Red Cross Pl,1023.0,1046,-23.0,2069.0
216,Calyer St & Jewel St,399.0,401,-2.0,800.0
217,Cambridge Pl & Gates Ave,513.0,501,12.0,1014.0
218,Canal St & Rutgers St,2797.0,2801,-4.0,5598.0
219,Carlton Ave & Dean St,634.0,644,-10.0,1278.0
220,Carlton Ave & Flushing Ave,615.0,628,-13.0,1243.0
221,Carlton Ave & Park Ave,462.0,480,-18.0,942.0
222,Carmine St & 6 Ave,3630.0,3825,-195.0,7455.0
223,Carroll St & 5 Ave,726.0,758,-32.0,1484.0
224,Carroll St & 6 Ave,589.0,600,-11.0,1189.0
225,Carroll St & Bond St,544.0,558,-14.0,1102.0
226,Carroll St & Columbia St,604.0,619,-15.0,1223.0
227,Carroll St & Franklin Ave,146.0,153,-7.0,299.0
228,Carroll St & Smith St,850.0,874,-24.0,1724.0
229,Carroll St & Washington Ave,201.0,218,-17.0,419.0
230,Cathedral Pkwy & Broadway,1499.0,1446,53.0,2945.0
231,Catherine St & Monroe St,1387.0,1440,-53.0,2827.0
232,Cedar St & Evergreen Ave,113.0,76,37.0,189.0
233,Cedar St & Myrtle Ave,225.0,198,27.0,423.0
234,Center Blvd & 48 Ave,591.0,590,1.0,1181.0
235,Center Blvd & 51 Ave,721.0,704,17.0,1425.0
236,Central Ave & Covert St,92.0,80,12.0,172.0
237,Central Ave & Decatur St,92.0,98,-6.0,190.0
238,Central Ave & Flushing Ave,188.0,176,12.0,364.0
239,Central Ave & Himrod St,128.0,110,18.0,238.0
240,Central Ave & Melrose St,122.0,119,3.0,241.0
241,Central Ave & Starr Street,225.0,196,29.0,421.0
242,Central Ave & Weirfield St,116.0,124,-8.0,240.0
243,Central Ave & Woodbine St,160.0,176,-16.0,336.0
244,Central Park North & Adam Clayton Powell Blvd,2148.0,2187,-39.0,4335.0
245,Central Park S & 6 Ave,3694.0,3635,59.0,7329.0
246,Central Park W & W 96 St,2221.0,2102,119.0,4323.0
247,Central Park West & W 100 St,1463.0,1504,-41.0,2967.0
248,Central Park West & W 102 St,581.0,577,4.0,1158.0
249,Central Park West & W 68 St,2662.0,2478,184.0,5140.0
250,Central Park West & W 72 St,3095.0,3057,38.0,6152.0
251,Central Park West & W 76 St,1887.0,1779,108.0,3666.0
252,Central Park West & W 85 St,2667.0,2617,50.0,5284.0
253,Centre St & Chambers St,2571.0,2516,55.0,5087.0
254,Centre St & Seneca Ave,58.0,55,3.0,113.0
255,Centre St & Worth St,1132.0,1196,-64.0,2328.0
256,Cherry St,1695.0,1649,46.0,3344.0
257,Christopher St & Greenwich St,4786.0,4849,-63.0,9635.0
258,Clark St & Henry St,1541.0,1552,-11.0,3093.0
259,Classon Ave & St Marks Ave,645.0,583,62.0,1228.0
260,Clermont Ave & Lafayette Ave,524.0,463,61.0,987.0
261,Clermont Ave & Park Ave,444.0,442,2.0,886.0
262,Cleveland Pl & Spring St,3233.0,3379,-146.0,6612.0
263,Cliff St & Fulton St,1719.0,1832,-113.0,3551.0
264,Clinton Ave & Flushing Ave,540.0,539,1.0,1079.0
265,Clinton Ave & Myrtle Ave,1214.0,1115,99.0,2329.0
266,Clinton St & 4 Place,526.0,546,-20.0,1072.0
267,Clinton St & Centre St,180.0,182,-2.0,362.0
268,Clinton St & Grand St,3579.0,3587,-8.0,7166.0
269,Clinton St & Joralemon St,1124.0,1137,-13.0,2261.0
270,Clinton St & Union St,629.0,632,-3.0,1261.0
271,Coffey St & Conover St,376.0,367,9.0,743.0
272,Columbia Heights & Cranberry St,577.0,575,2.0,1152.0
273,Columbia St & Degraw St,730.0,720,10.0,1450.0
274,Columbia St & Kane St,624.0,615,9.0,1239.0
