,start_station_name,start_count,end_count,deficit,popularity,deficit_normalized,popularity_normalized
105,3 St & Hoyt St,504,525,-21,1029,-0.09170305676855896,0.06544136352073264
106,3 St & Prospect Park West,1364,1353,11,2717,0.027707808564231738,0.17279318239633681
107,30 Ave & 12 St,200,181,19,381,0.04785894206549118,0.024230475705927245
108,30 Ave & 21 St,357,352,5,709,0.012594458438287154,0.04509030780971763
109,30 Ave & 41 St,622,628,-6,1250,-0.026200873362445413,0.07949631137115237
110,30 Ave & 47 St,316,312,4,628,0.010075566750629723,0.03993894683286695
111,30 St & 4 Ave,191,192,-1,383,-0.004366812227074236,0.024357669804121088
112,30 St & 48 Ave,210,220,-10,430,-0.043668122270742356,0.027346731111676417
113,31 Ave & 14 St,486,477,9,963,0.022670025188916875,0.06124395828033579
114,31 Ave & 30 St,676,679,-3,1355,-0.013100436681222707,0.08617400152632917
115,31 Ave & 34 St,562,561,1,1123,0.0025188916876574307,0.0714194861358433
116,31 Ave & 57 St,112,112,0,224,0.0,0.014245738997710507
117,31 Ave & 61 St,187,194,-7,381,-0.03056768558951965,0.024230475705927245
118,31 Ave & Crescent St,719,715,4,1434,0.010075566750629723,0.09119816840498601
119,31 Ave & Steinway St,832,841,-9,1673,-0.039301310043668124,0.10639786313915034
120,31 Pl & Hunters Point Ave,70,72,-2,142,-0.008733624454148471,0.00903078097176291
121,31 Rd & 21 St,309,297,12,606,0.030226700251889168,0.03853981175273467
122,31 St & 21 Ave,349,336,13,685,0.0327455919395466,0.043563978631391505
123,31 St & 23 Ave,1446,1455,-9,2901,-0.039301310043668124,0.18449503943017043
124,31 St & Astoria Blvd,541,550,-9,1091,-0.039301310043668124,0.06938438056474179
125,31 St & Broadway,1423,1439,-16,2862,-0.06986899563318777,0.18201475451539048
126,31 St & Ditmars Blvd,1064,1077,-13,2141,-0.056768558951965066,0.1361612821165098
127,31 St & Hoyt Ave N,424,432,-8,856,-0.034934497816593885,0.05443907402696515
128,31 St & Newtown Ave,1481,1494,-13,2975,-0.056768558951965066,0.18920122106334267
129,31 St & Northern Blvd,433,439,-6,872,-0.026200873362445413,0.0554566268125159
130,31 St & Thomson Ave,574,613,-39,1187,-0.1703056768558952,0.0754896972780463
131,33 St & 47 Ave,171,159,12,330,0.030226700251889168,0.020987026201984227
132,34 Ave & 13 St,163,169,-6,332,-0.026200873362445413,0.021114220300178073
133,34 Ave & 21 St,338,333,5,671,0.012594458438287154,0.042673619944034596
134,34 Ave & 31 St,476,475,1,951,0.0025188916876574307,0.06048079369117273
135,34 Ave & 38 St,750,756,-6,1506,-0.026200873362445413,0.09577715593996439
136,34 Ave & 45 St,331,330,1,661,0.0025188916876574307,0.04203764945306538
137,34 Ave & 48 St,322,312,10,634,0.02518891687657431,0.04032052912744848
138,34 St & 35 Ave,397,393,4,790,0.010075566750629723,0.0502416687865683
139,34 St & 38 Ave,337,332,5,669,0.012594458438287154,0.04254642584584075
140,34 St & 4 Ave,169,163,6,332,0.015113350125944584,0.021114220300178073
141,34 St & 48 Ave,242,236,6,478,0.015113350125944584,0.03039938946832867
142,34 St & 5 Ave,141,141,0,282,0.0,0.017934367845331978
143,34th Ave & Vernon Blvd,515,518,-3,1033,-0.013100436681222707,0.06569575171712033
144,35 Ave & 10 St,562,566,-4,1128,-0.017467248908296942,0.07173747138132791
145,35 Ave & 37 St,653,662,-9,1315,-0.039301310043668124,0.0836301195624523
146,35 St & 21 Ave,294,279,15,573,0.037783375314861464,0.03644110913253625
147,35 St & 23 Ave,315,333,-18,648,-0.07860262008733625,0.04121088781480539
148,35 St & 30 Ave,560,547,13,1107,0.0327455919395466,0.07040193335029254
149,35 St & 34 Ave,343,342,1,685,0.0025188916876574307,0.043563978631391505
150,35 St & Broadway,738,765,-27,1503,-0.11790393013100436,0.09558636479267361
151,36 Ave & 10 St,348,352,-4,700,-0.017467248908296942,0.04451793436784533
152,36 Ave & 31 St,793,796,-3,1589,-0.013100436681222707,0.1010557110150089
153,36 St & 3 Ave,263,264,-1,527,-0.004366812227074236,0.03351564487407784
154,36 St & 4 Ave,520,537,-17,1057,-0.07423580786026202,0.06722208089544646
155,36 St & 47 Ave,123,119,4,242,0.010075566750629723,0.0153904858814551
156,36 St & Ditmars Blvd,470,449,21,919,0.05289672544080604,0.058445688120071226
157,36 St & Hunters Point Ave,118,108,10,226,0.02518891687657431,0.01437293309590435
158,36 St & Queens Blvd,281,281,0,562,0.0,0.03574154159247011
